title,paragraphs
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS• Asset $/BOE is higher than industry average– Recovery per well lower than average– Phase 2 depletion plan requires high CAPEX for gas and water injectors• Overall facilities cost is competitive – SMG-AA is comparable with industry average– SMJT-AA, SMW-B and gas pipeline estimates are aggressive– Gas and water injection pipelines are conservative• Well construction costs higher than average project with similar well complexity"
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,136136 Cost Analysis Summary Samarang Project Phase 2 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS Facilities Execution Duration Model Phase 2 Much Slower Than Industry 137137 23 26 31 35 39 80% 25% of projects lower 10% of projects lower Months 50% Samarang Phase 2 Facilities Duration Estimate 39 months (Index:1.26) 75% of projects lower 90% of projects lower Industry Benchmark CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS138138 Facilities Execution Schedule Analysis Samarang Project Phase 2 Benchmark Assumptions: • Industry average duration based on facilities cost • Execution duration is from detailed engineering to 1st hydrocarbon   or mechanical completion • Benchmark assumes industry average overlap of detailed   engineering and fabrication (34 percent) Facilities’ CAPEX  (US$ million) Detailed Engineering Start Date FID Date 1st Oil Date Samarang Phase 2 Execution Duration  (months) Industry Average (Months) Top Quartile (Months) 570 November 2011 July 2011 October 2014 39 31 28  • CPP Topside HUC: 11 Sept 2014 • SMJT-AA HUC: 5 July 2015 • SMW-B HUC: 5 Oct 2015 • Revamp HUC: 27 Nov 2015 Infill Drilling: 7 Sept 2014 to 4 Aug 2015 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS139139 367 446 582 690 840 80% 25% of projects lower 10% of projects lower Days 50% Phase 2 Well Duration Estimate 662 Days (Index: 1.14) 75% of projects lower 90% of projects lower Well Construction Duration Model Samarang Phase 2 Is Slower Than Industry Average Industry Benchmark CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS140140 Wells Schedule Analysis Summary
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"Samarang Project Phase 2• Well construction duration is slower than Industry– On average, Phase 2 will drill at a rate of 6.7 days/1,000 ft vs. 5.6 days/1,000 ft for comparison dataset1– Or 20 percent slower based on this comparison dataset> Which aligns with the well construction duration model"
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,Note: 1 Comparison dataset consists of 12 projects with more than 120 wells in the wells program. 3 projects are in Asia Pacific CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS141141 Outline  • Key Message  • Project Background  • Basis of Comparison  • Practices and Drivers  • Targeted Outcomes  • Conclusions – Phase 2  • Recommendations CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS142142 Facilities FEL 8.75 Reservoir FEL Appraisal Producing Field Reservoir Complexity Summary of the Samarang Project Phase 2 Target Setting Wells Technology WCI = 36 Not Integrated Asset Team Project Execution Discipline: Planned PCI: Good Late Design Change: N/A PM Turnover: N/A Facilities Technology: Routine Asset Outcomes Facilities Outcomes Wells Outcomes Risk                <<< Less                 -------- More   >>> Results           <<< Better               -------- Worse >>> MediumLow High Wells FEL 9.00 Reservoir FEL 4.85 CI = 0.89 SI = 1.26 CI = 1.41 SI = 1.14 High 52 CI = Cost Index SI = Schedule Index PDA = Production Attainment
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS• New technology applied – GASWAG EOR technique unproven in Industry and is a risk• Reservoir and Wells FEL at Optimal level for this phase• Facilities scope has major gap in PEP and schedule• Fair TDI driven by lack of integrated team (i.e., missing full-time operations representative)• Planned project controls aligned with Industry"
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,143143 Conclusions: Drivers and Practices Samarang Project Phase 2
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS• Planned asset development cost/BOE is uncompetitive– Driven by low recovery/well given the EOR nature of project• Overall facilities cost estimate is competitive– However, estimates for SMJT-AA, SMW-B and gas pipeline are highly aggressive– Water and gas injection pipelines are conservative– SMG-AA is competitive• Drilling program more expensive than industry average for similar well complexity"
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,144144 Conclusions: Targets Phase 2 Cost Targets Mostly Competitive CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS145145 Outline  • Key Message  • Project Background  • Basis of Comparison  • Practices and Drivers  • Targeted Outcomes  • Conclusions  • Recommendations – Phase 2 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS Recommendations (1) Develop Detailed Impact Plan For Late EOR Inputs  • Minimise effect of late changes from overlap of Phase 2
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"FEED and subsurface EOR analysis from Phase 1 core and other EOR inputs– Past projects that conducted subsurface and facilities work in parallel had late changes, driving cost growth and schedule slips– Team acknowledges changes in detailed engineering are inevitable given timing of core analysis and other EOR inputs– Therefore, team must develop a detailed contingency plan (scenario planning) of possible changes due to late "
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"EOR inputs from Phase 1 with cost, schedule, and  production impacts 146146 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS Recommendations (2) Define Measures of Success for GASWAG EOR  • Team highly driven to implement GASWAG for Samarang field  • As GASWAG is new technology, team must develop  measureable definition of success prior to start of FEED  – Should include: > Accounting for GASWAG EOR performance after startup  > Time by which GASWAG success must be shown  > Consequences if GASWAG is not successful  – Definitions of success must be agreed by all  stakeholders and management 147147 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS Recommendations (3)"
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,Close Schedule Definition Gaps• Improve project schedule definition– Complete preparation of project schedule– Develop more details in platform revamp activities– Do critical path analysis• Load schedule with critical resources prior to project authorisation to achieve a Definitive schedule
2012 Samarang Ph 1 PRO n  Samarang Ph 2 PAC (Final).pdf,"148148 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS Recommendations (4) Carry Over Lessons From Drilling Phase 1  • Similar to Phase 1, team drilling risks exist, especially  for fault tracking drilling technique and K sands  • Team must carry over drilling lessons learned from Phase 1 to reduce risks for Phase 2   • Sufficient contingencies should be allocated to cover  risks after incorporating lessons from Phase 1 149149 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS150150 Independent Project Analysis, Inc. Trung Ghi - tghi@ipaglobal.com Level 1, 56 Burgundy Street Heidelberg, Victoria 3084  +61-3-9458-7315 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS151151 Prepared for PETRONAS Prepared by Adrian Kong and Trung Ghi April 2010 FINAL Phase 1 Prospective and               Phase 1 Prospective and Phase 2 Pacesetter Evaluations         Phase 2 Pacesetter Evaluations           of the of the SamarangSamarang ProjectProject"
2012 Samarang Ph 2 PRO (Final).pdf,No Slide Title A Prospective Evaluation of the A Prospective Evaluation of the Samarang Phase 2 ProjectSamarang Phase 2 Project Prepared for PETRONAS Prepared by Khanh Nguyen and Galvin Singh December 2011 FINAL CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS22 Confidentiality Statement Prepared by Khanh Nguyen and Galvin Singh Reviewed by Paul Barshop Edited by Loren Farrar PET-1214-PRO
2012 Samarang Ph 2 PRO (Final).pdf,"This document and the information contained herein are proprietary information and the property of Independent Project Analysis, Inc., which expressly reserves all copyright and other ownership rights in its contents. Information about the subject matter, content, andstructure of this document is confidential and proprietary. Neither this document nor any information contained herein may be disclosed to any third party without the prior written consent of IPA except as expressly provided by the contract between IPA and PETRONAS.  "
2012 Samarang Ph 2 PRO (Final).pdf,This document is not to be copied or distributed without authorisation. CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS33 Preface  • Members of PETRONAS-Schlumberger alliance project  team supplied information in meetings on 11 and 12
2012 Samarang Ph 2 PRO (Final).pdf,"October 2011 in Kuala Lumpur• Although project team members provided information, interpretation and analysis are IPA’s and do not necessarily reflect views of those interviewed• For more information, contact – Khanh Nguyen at +65 9721 7964 or at knguyen@ipaglobal.com– Galvin Singh at +65 8223 7628 or at       gsingh@ipaglobal.commailto:knguyen@ipaglobal.commailto:tghi@ipaglobal.com"
2012 Samarang Ph 2 PRO (Final).pdf,CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS44 Objectives of This Prospective Analysis  • Provide feedback on Samarang Phase 2 (SMRG 2) Project status at sanction  – Determine if Front-End Loading (FEL) and other drivers meet Best Practice  – Identify gaps that may preclude project excellence  • Provide benchmarks of project cost and schedule  expectations  • Share research to identify areas of risk and offer  mitigation strategies   • Present recommendations for risk reduction and  performance improvement CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS55 FEL 1 FEL 2 FEL 3 EXECUTE OPERATEGATE GATE GATE GATE GATE ASSET DEVELOPMENT STRATEGY ASSESSMENT PACESETTER EVALUATION AUTHORISATION PES When Does IPA Get Involved in Projects? CLOSEOUT PES OPERABILITY
2012 Samarang Ph 2 PRO (Final).pdf,"PES• Pacesetter project evaluation to set targets, identify Best Practices, and quantify cost/schedule risks early• Authorisation project evaluation when estimating data are available, support Decision Support Package for Development Stage• Closeout after startup, but prior to team being reassigned• Operability after first year of operation"
2012 Samarang Ph 2 PRO (Final).pdf,SMRG 2 Project CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS66  • Key Message • Project Background   • Basis of Comparison  • Practices and Drivers   • Targeted Outcomes  • Conclusions  • Recommendations Outline CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS77
2012 Samarang Ph 2 PRO (Final).pdf,"Key Message• SMRG 2 has an Integrated asset team and Good project control plans• However, it is entering the sanction phase with significant gaps:– The viability of GASWAG has not been confirmed– FEED for the SMG-AA floatover concept and flexible pipelines are not yet done– Scope of wells campaign is not confirmed • With these gaps, the current cost and schedule targets are unlikely to be achieved• The team needs time for further definition work to deliver a successful project"
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIAL © 2003  INDEPENDENT PROJECT ANALYSIS, INC.8CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS88 Reservoir FEL 5.49 RCI 20 - - - - - 66 WCI 25 - - - - - 123 Risk <<< Less - - - - - More >>> Results <<< Better - - - - - Worse >>> Low Medium High CA = Cost Aggressiveness SA = Schedule Aggressiveness PCI = Project Control Index Appraisal: Moderate RCI: 49 Reservoir Complexity Target Setting Wells Technology: Conventional New to Company Integrated Asset Team Project Control Discipline: PCI: Good Facilities FEL 8.75 Wells FEL 6.36 CA* = 1.19 CA** = 2.26, 1.55 SA^ = 1.06, 1.34 CA = 1.15 SA = 0.64 Facilities Technology: Conventional New to Company Summary of SMRG 2 Project (October 2011) Wells Outcomes Facilities Outcomes Asset Outcomes RCI = Reservoir Complexity Index WCI = Wells Complexity Index FEL = Front-End Loading Asset FEL 6.97 WCI 47  * Revamp scope ** 14-inch and 16-inch LP gas pipelines ^ Based on 41- and 52-month execution durations Note: SMG-AA, SMJT-AA, and SMW-B were not benchmarked CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS99  • Key Message  • Project Background • Basis of Comparison  • Practices and Drivers   • Targeted Outcomes  • Conclusions  • Recommendations Outline CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1010 Project Background (1) Field History  • Samarang field is in South China Sea off coast of Sabah, East Malaysia, about 72 km northwest of Labuan Gas"
2012 Samarang Ph 2 PRO (Final).pdf,"Terminal; field covers about 7 km X 2 km• Samarang field discovered in 1972 by SM-1 well and was developed in phases—first oil achieved in June 1975• Existing Samarang complex comprised of seven platforms (drilling, wellhead platforms, processing platforms, etc.)• Shell was previous operator and relinquished concession to PCSB* in April 1995• Current production license for Samarang field will expire in 2020 * PCSB = PETRONAS Carigali Sdn Bhd"
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1111 Project Background (2) Field History  • In late 1997, Samarang was upgraded as hub  – Several offset fields (including Kinabalu, Samarang Kecil, and Sumandak) were tied in to Samarang facilities and shared  export line to LCOT and LGAST*  • Total of 62 development wells drilled from 1975 to 1979  on SMDP-A, B and SMJT-C, D, and E platforms  * LCOT = Labuan Crude Oil Terminal and LGAST = Labuan Gas Terminal CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1212 Project Background (3)"
2012 Samarang Ph 2 PRO (Final).pdf,"Field History• Field revisited several times since:– 1986/87: 12 wells (SMJT-F, G) and 20 sidetracks on SMDP-A, B and SMJT-C, D, and E– 1991/93: 27 sidetracks—3 were workovers and 2 were new wells on SMDP-A, B and SMJT-C, D, and F– 1997/98: 3 sidetrack wells, 1x HHP gas, and 5 new wells in "
2012 Samarang Ph 2 PRO (Final).pdf,"SMJT-D, F, and G  – 2002: 2 sidetracks (SM-52 and SM-57) and 1 recompletion (SM- 42) CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1313 Project Objectives SMRG 2 Project   • To maximise value from maturing Samarang field via  implementation of enhanced oil recovery (EOR) – Gravity"
2012 Samarang Ph 2 PRO (Final).pdf,"Assisted Simultaneous Water and Gas (GASWAG) scheme is planned• Targeting total recovery of 44.7 million barrels (MMbbls) (to 2035)– 23.7 MMbbls from infill and 21 MMbbls from EOR • Total cost estimate of US$1.58 billion• Target dates*:– First oil from infill drilling on 19 June 2013– First water injection on 25 September 2015– First gas injection on 19 November 2015* Note that the team has committed to management to produce first oil on 4 January 2014, first water injection on 4 "
2012 Samarang Ph 2 PRO (Final).pdf,"August 2016 and first gas injection on 16 October 2016 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1414 Project Scope (1) SMRG 2 Project Source: Samarang Phase 2 Project Schedule Risk Analysis, 1 August 2010 Project Scope Phase 2 Development Overview 10” LP Bulk SMJT-D to SMP-C (1.02 km) 6” GI SMG-A to SMW-B (2.19 km) SMQ-A SMG-A SMP-A SMV-B SMV-A SMV-AA LCOT KNDP-A SMK-A SMR-A SUPG-B SUDP-A LGAST52.1km x 14” SMJT-C SMJT-D SMV-C SMDP-A SMJT-F SMP-C SMJT-G SMJT-E SMDP-B SMP-B SMW-B SMJT-AA SMG-AA NOTE: Objects in Red denotes  new development. SMJT-AA SMG-AA SMW-B 8” LP Bulk SMJT-G  to SMP-A (0.7 km) 16” LP Gas SMP-B to SMG-A (2.15 km) 6” WI SMP-B to SMJT-E (1.81 km) 14” LP Gas SMP-C to SMP-A (1.78 km) 10” LP Bulk SMJT- F to SMJT-C (0.6   km) 8” GL SMJT-C to SMJT-F (0.6 km) Submarine Cable SMG-A to SMW-B (2.19 km) CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1515 Project Scope (2)"
2012 Samarang Ph 2 PRO (Final).pdf,"SMRG 2 Project • 3 platforms:– SMG-AA compression platform– SMJT-AA drilling platform– SMW-B water injection platform• 8 infill pipelines• 1 submarine cable• Brownfield work on 11 existing platforms– Platform upgrade, revisit, tie-in, and integrate operations (I/O)• Drilling campaign– 11 infill drilling wells– 4 EOR, 5 water injection, and 4 gas injection wells"
2012 Samarang Ph 2 PRO (Final).pdf,CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1616 Project History (1)
2012 Samarang Ph 2 PRO (Final).pdf,"SMRG 2 Project • Field redevelopment concept endorsed in April 2009• In 2009, project split into two phases– Phase 1: 5 infill wells to prove attic oil concept and gather data for EOR scope and reservoir management– Phase 2: complete field redevelopment • Phase 1 sanctioned in May 2010 and achieved first oil on "
2012 Samarang Ph 2 PRO (Final).pdf,"31 July 2011  • More oil bearing sands found from Phase 1 wells data: – 3 additional wells from SMJT-F platform planned to be drilled – Decision on spud date yet to be made  • Analysis of cores taken from Phase 1 completed, except  for core flooding studies viable for EOR concept CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1717 Project History (2) SMRG 2 Project   • Facilities FEED completed in April 2011 – Modular concept for SMG-AA – Rigid pipelines  • In early September 2011, decision made to change to"
2012 Samarang Ph 2 PRO (Final).pdf,SMG-AA floatover and use flexible pipelines• Project passed MR#5 on 28 September 2011• Overall contracting strategy presented to decision review board in November 2011• Team in process of preparing ITB packages• Tier 1 sanction planned for February 2012 and Tier 2 sanction scheduled for October 2012** Tier 1 sanction is fund approval for procurement and Tier 2 sanction is full-funds authorisation
2012 Samarang Ph 2 PRO (Final).pdf,CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1818 Project Execution Strategy (1)
2012 Samarang Ph 2 PRO (Final).pdf,"SMRG 2 Project• EPCIC* to be used for SMG-AA platform– GMP** basis– Installation included because unconventional modular installation to be used for floatover– Possibility of using fabricators outside Malaysia being explored• EPCC*** to be used for SMJT-AA and SMW-B – GMP basis– Modular installation based on Pan-Malaysia contract**** and to be managed centrally by PETRONAS• EPC lump-sum to be used for brownfield work* EPCIC = Engineering, procurement, construction installation, and commissioning** GMP = guaranteed maximum pricing*** EPCC = engineering, procurement, construction, and commissioning**** Pan-Malaysia allocates installation vessels and drilling rigs for all operators in Malaysia"
2012 Samarang Ph 2 PRO (Final).pdf,CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS1919 Project Execution Strategy (2)
2012 Samarang Ph 2 PRO (Final).pdf,"SMRG 2 Project• EPCC lump-sum to be used for HUC*• EPCC lump-sum to be used for conventional rigid pipelines– Different installation contractor will be used for flexible pipelines• Drilling– Pan-Malaysia rig contracts to be used for rig and drilling services– Schlumberger alliance contracts to be used for other services• Use of incentives being considered– Cost overrun borne by contractors and cost savings shared between PCSB and contractors– Schedule incentives considered, but structured yet to be decided* HUC = hook-up and commissioning"
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2020  • Key Message  • Project Background   • Basis of Comparison • Practices and Drivers   • Targeted Outcomes  • Conclusions  • Recommendations Outline CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2121 UIBC* 2010 Database: Basis for E&P Industry Averages Dataset (432 projects) Characteristic SMRG 2 Project Minimum Median Maximum Year of Authorisation 2012 2002 2006 2010 Region Asia Asia 19%; North America, 15%; Europe, 22%; Africa, 14%; South America, 13%; Other, 17% Resource Promise Estimate (MMBOE) 44.7   (estimated) <5 105 >3,000 Cost (2011A$ millions) 1,575 (estimated) <24 360 >7,300"
2012 Samarang Ph 2 PRO (Final).pdf,"Water Depth (m) 10, 50 2 100 >2,500* UIBC = Upstream Industry Benchmarking Consortium. The UIBC is a voluntary association of owner firms in the upstream petroleum industry that use IPA’s quantitative benchmarking approach. The members exchange data,information, and metrics to improve the effectiveness of their project systems."
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2222 Majors and IndependentsMajors and Independents Marathon Woodside ExxonMobil BP Shell TotalChevron National Oil CompaniesNational Oil Companies or Partial State Ownershipor Partial State Ownership Hess Talisman Energy Saudi AramcoOman Oil Anadarko Nexen ADNOC Petrobras BG Group Pioneer CNOOC Petronas BHP Billiton Santos ENI PTTEP Sasol E&PConocoPhillips Ecopetrol Repsol Noble EnergyApache PetrochinaAIOC Super MajorsSuper Majors  * Company names in red indicate IBC and/or UIBC member companies W&T Offshore StatoilINPEX PDVSA Medco Energi Operators in IPA’s E&P Benchmarking CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2323 North America = 15%North America = 15% Latin America = 13%Latin America = 13% North Sea = 22%North Sea = 22% Africa = 15%Africa = 15% The Middle East/The Middle East/ Central Asia/Russia = 11%Central Asia/Russia = 11% SE Asia = 17%SE Asia = 17% Oceania = 7%Oceania = 7% UIBC 2010 Database Is Global 432 Exploration and Production Projects CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2424 Basis of Comparison: Central Processing Dataset Characteristics SMG-AA No of Projects Asia (%) Minimum Median Maximum 1987 82 0.4 4 2002 2,150 20 122 Year of Sanction 2012 2010 Jacket Weight (mT)* 841 117 27 >30,000 Jacket Fab Cost  (2011US$  millions)** 6 68 19 276 Topside Weight (mT)*** 9,389 Topside Fab Cost  (2011US$  millions)****"
2012 Samarang Ph 2 PRO (Final).pdf,"141 84 21 1,523* Comparison dataset based on similar water depth and topside operating weight** Comparison dataset based on similar jacket weight*** Comparison dataset based on similar topside complexity; SMG-AA is outside comparison ranges, so it was not analysed**** Comparison dataset based on similar topside dry weight"
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2525 Basis of Comparison: Wellhead Platform Dataset Characteristics SMJT-AASMW-B No of Projects Asia (%) Minimum Median Maximum 1990 80 0.4 2 2003 480 5 17 Year of Sanction 2012 2010 Jacket Weight (mT)* 236 1,296 121 47 8,200 Jacket Fab Cost  (2011US$  millions)** 2 9 68 47 64 Topside Weight (mT)*** 497 2,257 Topside Fab Cost  (2011US$  millions)**** 11"
2012 Samarang Ph 2 PRO (Final).pdf,"55 80 55 340* Comparison dataset based on similar water depth and topside operating weight** Comparison dataset based on similar jacket weight*** Comparison dataset based on similar CxHy throughputs; SMJT-AA and SMW-B are outside comparison ranges, so they were not analysed**** Comparison dataset based on similar topside dry weight"
2012 Samarang Ph 2 PRO (Final).pdf,"CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2626 Basis of Comparison: Offshore Revamp Model Dataset (143 projects) Characteristic SMRG 2 Project Minimum Median Maximum Year of Sanction 2012 1990 2001 2008 Region Asia Asia, 17%; GoM, 12%; Europe, 55%; Africa, 8%; Other, 8% Cost (2011US$ millions) 248   (estimated) 0.2 41 748 CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2727 Basis of Comparison: Pipeline Model Dataset (108 projects) Characteristic SMRG 2 Project Pipeline Length (km) 0.53 – 2.7 0.4 27.4 684 Minimum Median Maximum Year of Sanction 2012 1989 2000 2008 Region Asia Asia, 19%; GoM, 22%; Europe, 22%; Africa, 13%; South America, 16%; Middle East, 3%; Oceania, 5% Cost (2011US$ millions) 147*   (estimated) 3 59 >2,000 Pipeline Diameter (in) 6, 8, 10, 14, 16 4.5 14 45 Water Depth (m) 10, 50 4.6 90 1,935  * Excludes US$91 million of risers costs CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2828 Basis of Comparison: Well Construction Model Dataset (112 projects) Characteristic SMRG 2 Project Number of Wells 24 3 120 >2,500 Minimum Median Maximum Year of Authorisation 2012 1997 2004 2008 Region Asia Asia, 16%; North America, 19%; Europe, 33%; Africa, 13%; South America, 9%; Oceania, 10% Cost (2011US$ millions) 407*   (estimated) 4 150 1,600 Water Depth (m) 67(average) <10 120 >2,000 Program Duration (days) 680(estimated) 12 240 >2,000  * Excludes US$2.5 million of multi-phase flow meter costs and US$9.9 million of wells clean-up costs CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS2929 Basis of Comparison: Facilities Execution Model Dataset (254 completed projects) Characteristic SMRG 2 Project Minimum Median Maximum Region Asia Asia, 15%; North America, 19%; Europe, 35%; Africa, 11%; South America, 11%; Other, 9% Cost (2011US$  millions) 1,157*  (estimated) 15 465 >11,000 Water Depth (m) 10, 50 2 126 >2,500 Resource Promise Estimate (MMBOE) 45 4 107 >3,200  * Total costs of platforms, pipelines, and brownfield work CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS3030  • Key Message  • Project Background   • Basis of Comparison  • Practices and Drivers • Targeted Outcomes  • Conclusions  • Recommendations Outline CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS3131 Reservoir FEL Appraisal Moderate Reservoir Complexity Target Setting Wells Technology Team Project Control Discipline Facilities FEL Wells FEL Facilities Technology Drivers of Project Success Reservoir Complexity and Appraisal Strategy Wells Outcomes Facilities Outcomes Asset OutcomesRCI 49 Wells Complexity Risk <<< Less - - - - - More >>> Results <<< Better - - - - - Worse >>> Low Medium High Risk <<< Less - - - - - More >>> Results <<< Better - - - - - Worse >>> Low Medium High GATEDEFINE EXECUTE GATEOPERATEGATEGATEGATEAPPRAISE SELECT GATE CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS3232 0 1 2 3 4 5 Co mp  art me  nts Fa  ult  D  en sit  y Na tur  al Fr  ac tur  es Di p St ac  kin g Ve rtic  al Co  nti nu  ity La ter  al Co  nti nu  ity NT G Ro ck   P rop  ert ies Mi ne  ral og  y Me ch  an ica  l P rop  s Oi l P  rop s Ga s P  rop s Ine rt W ate  r P rop  s Aq uif  er Ga  s C ap Co mp  ac tio  n Re se  rvo ir E  ne rgy R es  er vo  ir C  om pl  ex ity   F ac  to r R  at in  g Ind Avg Samarang Structural Complexity Stratigraphic Complexity Rock Quality Fluid Quality Reservoir Energy Drive Weak reservoir  energy Complex Reservoir, RCI* = 49**  * RCI = Reservoir Complexity Index ** RCI ratings for (EFGH), K, MN, and OPQ are 58, 44, 51, and 54, respectively; the overall RCI calculated using average  weighted reserves *** Industry RCI = 40 with standard deviation range from 32 to 48 High  compartmentalisation   & fault density High stacking; Vertical and lateral  barriers restrict flow CONFIDENTIALCONFIDENTIAL INDEPENDENT PROJECT ANALYSISINDEPENDENT PROJECT ANALYSIS3333 Appraisal Effectiveness (1)"
